ID,Name,Normalized Financial Index
"3380.HK,""Logan Group Co., Ltd."",2.6193063925036326"
0662.HK,Asia Financial Holdings Limited,1.6977182019673243
2540.HK,Lesi Group Limited,3.175759239569837
"2611.HK,""Guotai Junan Securities Co., Ltd. Class H"",5.819798649838949"
2443.HK,Autostreets Development Limited,0.09990009990009992
"2139.HK,""Bank of Gansu Co., Ltd. Class H"",3.523348709669659"
6110.HK,Topsports International Holdings Limited,4.872543816500489
"2386.HK,""SINOPEC Engineering (Group) Co., Ltd. Class H"",22.18613935809942"
9877.HK,Jenscare Scientific Co. Ltd. Class H,4.557951552275602
"2105.HK,""Laekna, Inc."",4.7941942686239285"
1773.HK,Tianli International Holdings Limited,6.61823705575135
0120.HK,Cosmopolitan International Holdings Limited,3.1415302217349534
9955.HK,ClouDr Group Limited,8.486771340770296
1024.HK,Kuaishou Technology Class B,7.665740411612151
0797.HK,7Road Holdings Limited,3.165252672168766
1109.HK,China Resources Land Limited,4.418596405841177
3698.HK,Huishang Bank Corporation Limited Class H,0.8766010255542338
1952.HK,Everest Medicines Ltd.,6.6290926881808545
1992.HK,Fosun Tourism Group,2.1248537745715383
"6979.HK,""ZJLD Group, Inc."",3.526664114865752"
"3380.HK,""Logan Group Co., Ltd."",2.6193063925036326"
0662.HK,Asia Financial Holdings Limited,1.6977182019673243
2540.HK,Lesi Group Limited,3.175759239569837
"2611.HK,""Guotai Junan Securities Co., Ltd. Class H"",5.819798649838949"
2443.HK,Autostreets Development Limited,0.09990009990009992
"2139.HK,""Bank of Gansu Co., Ltd. Class H"",3.523348709669659"
6110.HK,Topsports International Holdings Limited,4.872543816500489
"2386.HK,""SINOPEC Engineering (Group) Co., Ltd. Class H"",22.18613935809942"
9877.HK,Jenscare Scientific Co. Ltd. Class H,4.557951552275602
"2105.HK,""Laekna, Inc."",4.7941942686239285"
1773.HK,Tianli International Holdings Limited,6.61823705575135
0120.HK,Cosmopolitan International Holdings Limited,3.1415302217349534
9955.HK,ClouDr Group Limited,8.486771340770296
1024.HK,Kuaishou Technology Class B,7.665740411612151
0797.HK,7Road Holdings Limited,3.165252672168766
1109.HK,China Resources Land Limited,4.418596405841177
3698.HK,Huishang Bank Corporation Limited Class H,0.8766010255542338
1952.HK,Everest Medicines Ltd.,6.6290926881808545
1992.HK,Fosun Tourism Group,2.1248537745715383
"6979.HK,""ZJLD Group, Inc."",3.526664114865752"
